t,A
0.4,0.1982505
0.8,0.1961269
1.2,0.1929224
1.6,0.1899125
2,0.1875334
2.4,0.1869216
2.8,0.1839739
3.2,0.1848538
3.6,0.1821568
4,0.1803848
4.4,0.1787833
4.8,0.1772663
5.2,0.1768802
5.6,0.1757892
6,0.1746127
6.4,0.1749905
6.8,0.1717145
7.2,0.1722643
7.6,0.1701039
8,0.170307
8.4,0.1677492
8.8,0.1671577
9.2,0.1669068
9.6,0.165204
10,0.1645926
10.4,0.1630985
10.8,0.1626185
11.2,0.1616951
11.6,0.1604143
12,0.1602121
12.4,0.1606322
12.8,0.1573947
13.2,0.1582636
13.6,0.156217
14,0.1557464
14.4,0.1552461
14.8,0.1542652
15.2,0.1529151
15.6,0.1536267
16,0.1521982
16.4,0.1511934
16.8,0.1517571
17.2,0.1492336
17.6,0.1501278
18,0.1487158
18.4,0.1477914
18.8,0.1475352
19.2,0.1462515
19.6,0.1472899
20,0.1466031
20.4,0.1448805
20.8,0.1447645
21.2,0.1435934
21.6,0.1426356
22,0.1425946
22.4,0.1436305
22.8,0.1418092
23.2,0.1421274
23.6,0.1416026
24,0.1399962
24.4,0.1400861
24.8,0.1398657
25.2,0.1399124
25.6,0.1387692
26,0.1368435
26.4,0.138447
26.8,0.1376161
27.2,0.1373255
27.6,0.136338
28,0.135249
28.4,0.1343133
28.8,0.1344742
29.2,0.1330631
29.6,0.1344744
30,0.1319866
30.4,0.1343917
30.8,0.1324093
31.2,0.1317144
31.6,0.1319897
32,0.1293347
32.4,0.1297046
32.8,0.1303777
33.2,0.1290097
33.6,0.1292031
34,0.1286138
34.4,0.1283837
34.8,0.1276809
35.2,0.1267355
35.6,0.1278817
36,0.1244325
36.4,0.1243276
36.8,0.1258057
37.2,0.1243144
37.6,0.1247919
38,0.1253255
38.4,0.1250515
38.8,0.1231371
39.2,0.1236823
39.6,0.1223047
40,0.1226284
40.4,0.121368
40.8,0.1217255
41.2,0.1211382
41.6,0.1215642
42,0.1209217
42.4,0.1194131
42.8,0.1197456
43.2,0.1189381
43.6,0.1187911
44,0.1189484
44.4,0.1183492
44.8,0.117436
45.2,0.1177013
45.6,0.1172558
46,0.1164715
46.4,0.1159729
46.8,0.11435
47.2,0.1155453
47.6,0.1135441
48,0.1151885
48.4,0.1136285
48.8,0.1135649
49.2,0.1132799
49.6,0.1138615
50,0.1134744
50.4,0.11192
50.8,0.1126625
51.2,0.1119122
51.6,0.1116404
