t,a
10,100
20,77.43143
30,90.38526
40,84.10072
50,79.19591
60,76.0214
70,72.42832
80,69.48111
90,64.76241
100,60.87318
110,58.98766
120,54.25965
130,51.93224
140,48.8992
150,48.17806
160,46.12441
170,42.53989
180,41.1482
190,39.95427
200,37.56409
210,35.18811
220,33.78304
230,31.93103
240,29.33787
250,29.79314
260,28.86621
270,27.18782
280,26.15558
290,25.09441
300,23.96369
310,22.1169
320,21.95107
330,21.05553
340,20.97815
350,16.98404
360,16.25006
370,17.57954
380,17.23457
390,15.63281
400,13.37212
410,13.28947
420,14.20808
430,13.80067
440,12.69282
450,9.973517
460,11.40329
470,8.558748
480,10.32634
490,9.626326
500,10.19532
510,9.009997
520,7.808594
530,8.255528
540,8.150907
550,6.499433
560,8.032276
570,6.575808
580,8.31155
590,7.427678
600,6.19176
610,5.33181
620,4.525427
630,6.868215
640,7.062559
650,5.789804
660,4.716007
670,5.570588
680,4.942014
690,4.961074
700,6.218553
710,4.100182
720,4.236812
730,2.766769
740,3.046445
750,4.629282
760,2.890685
770,1.439206
780,3.696835
790,3.566035
800,3.368906
810,3.544808
820,1.921381
830,2.825977
840,2.099401
850,2.679292
860,1.261241
870,2.304565
880,1.737196
890,3.798876
900,1.657064
910,2.1201
920,2.088415
930,1.062303
940,2.689421
950,1.860154
960,2.43319
970,0.6864727
980,0.5188984
990,1.835273
1000,1.943156
1010,1.841061
1020,2.172037
1030,1.230954
1040,1.017395
1050,0.04527405
1060,1.154894
1070,1.596309
1080,2.255237
1090,0.2437873
1100,1.424271
1110,1.656725
1120,1.981934
1130,0.7247817
1140,-0.250883
1150,0.3845488
1160,-0.01397839
1170,0.7334178
1180,-0.9149533
1190,0.04128814
1200,0.08539377
1210,1.421542
1220,1.608606
1230,1.130756
1240,-0.07305267
1250,-0.02004525
1260,-1.172164
1270,1.843632
1280,-1.344451
1290,1.309207
1300,-0.6830596
1310,0.4945552
1320,0.1915769
1330,1.192739
1340,1.785822
1350,0.1154111
1360,1.683953
1370,-1.092683
1380,-1.024592
1390,0.9577183
1400,0.8372037
1410,0.4305057
1420,-1.379893
1430,1.024524
1440,1.459698
1450,0.3792358
1460,0.0438696
1470,-0.8380566
1480,-0.02016492
1490,1.218462
1500,0.2591917
1510,0.1519311
1520,0.7174479
1530,-0.622022
1540,-0.2525061
1550,-1.116718
1560,-1.468765
1570,-0.2410198
1580,0.9835768
1590,-0.3131061
1600,0.9870296
1610,-0.7486581
1620,-0.02055253
1630,-0.6585274
1640,0.5317944
1650,0.6446884
1660,-0.4682613
1670,-0.7864838
1680,-2.82358
1690,-1.410606
1700,0.9287687
1710,2.073846
1720,0.4675637
1730,0.0915731
1740,0.5864232
1750,-1.609482
1760,1.103212
1770,0.2267514
1780,-0.798141
1790,0.04308433
1800,0.1018465
1810,0.1361374
1820,0.9871993
1830,0.1554878
1840,0.1470905
1850,1.473208
1860,-2.245297
1870,0.4177931
1880,-1.413161
1890,0.245835
1900,1.583338
1910,-1.679089
1920,0.1281907
1930,-0.7572639
1940,0.8473086
1950,0.330641
1960,-1.191348
1970,0.6255177
1980,0.8130614
1990,-0.937285
2000,-0.5742986
2010,1.412416
