t,a
0.2,0.5017446
0.4,0.5167276
0.6,0.4985278
0.8,0.5167921
1.0,0.4956903
1.2,0.5157552
1.4,0.4986416
1.6,0.5123761
1.8,0.5017411
2.0,0.5070334
2.2,0.5036176
2.4,0.506183
2.6,0.5068802
2.8,0.5007154
3.0,0.5080173
3.2,0.5014696
3.4,0.5062567
3.6,0.5009104
3.8,0.5060036
4.0,0.4986646
4.2,0.5053606
4.4,0.4986018
4.6,0.5066567
4.8,0.4962632
5.0,0.506823
5.2,0.4920359
5.4,0.5064528
5.6,0.4917244
5.8,0.5050901
6.0,0.4926705
6.2,0.5043074
6.4,0.492539
6.6,0.5016231
6.8,0.4959055
7.0,0.5005266
7.2,0.4954427
7.4,0.4978139
7.6,0.4973691
7.8,0.498802
8.0,0.4950251
8.2,0.4997209
8.4,0.494434
8.6,0.4992605
8.8,0.4925535
9.0,0.499975
9.2,0.4900052
9.4,0.5007487
9.6,0.4929094
9.8,0.4958402
10.0,0.4953928
10.2,0.4966018
10.4,0.4956181
10.6,0.4932997
10.8,0.4947914
11.0,0.4937599
11.2,0.4953436
11.4,0.4965651
11.6,0.4928609
11.8,0.4959269
12.0,0.4912885
12.2,0.4950333
12.4,0.4884102
12.6,0.4970201
12.8,0.4905182
13.0,0.494095
13.2,0.4910442
13.4,0.4911669
13.6,0.4928066
13.8,0.4898258
14.0,0.4927179
14.2,0.4896516
14.4,0.4939179
14.6,0.4921002
14.8,0.4900652
15.0,0.4927302
15.2,0.4880987
15.4,0.4918208
15.6,0.4867382
15.8,0.4907689
16.0,0.4875152
16.2,0.4899695
16.4,0.4892826
16.6,0.4875599
16.8,0.4892066
17.0,0.4880845
17.2,0.4892908
17.4,0.4874841
17.6,0.4899828
17.8,0.4885801
18.0,0.4852982
18.2,0.489029
18.4,0.4842281
18.6,0.4889349
18.8,0.4835146
19.0,0.4884513
19.2,0.4840686
19.4,0.4888446
19.6,0.4865639
19.8,0.4858404
20.0,0.4859723
20.2,0.4853808
20.4,0.4864288
20.6,0.4837571
20.8,0.4874868
21.0,0.4849226
21.2,0.484184
21.4,0.4854566
21.6,0.4830746
21.8,0.4858076
22.0,0.4797217
22.2,0.4871658
22.4,0.4807877
22.6,0.485858
22.8,0.484333
23.0,0.4827516
23.2,0.4838801
23.4,0.4819422
23.6,0.4828894
23.8,0.4801758
24.0,0.4838789
24.2,0.4829792
24.4,0.4811903
24.6,0.4841731
24.8,0.4774968
25.0,0.4835172
25.2,0.4773653
25.4,0.4837706
25.6,0.4779229
25.8,0.48392
26.0,0.4799614
26.2,0.4832045
26.4,0.4801884
26.6,0.4789199
