t,a
0.2,0.06302233
0.4,0.06097628
0.6,0.06004187
0.8,0.05791287
1.0,0.05527894
1.2,0.05590339
1.4,0.05395565
1.6,0.05549055
1.8,0.05040134
2.0,0.05274182
2.2,0.05030237
2.4,0.04968335
2.6,0.05150939
2.8,0.04869439
3.0,0.0487162
3.2,0.04638172
3.4,0.04710411
3.6,0.04608271
3.8,0.04570444
4.0,0.04516116
4.2,0.0444182
4.4,0.04401134
4.6,0.04241365
4.8,0.04434907
5.0,0.04158835
5.2,0.04195931
5.4,0.0410814
5.6,0.0416923
5.8,0.04120109
6.0,0.04107405
6.2,0.03988807
6.4,0.03873135
6.6,0.03855682
6.8,0.03778884
7.0,0.03704073
7.2,0.03843217
7.4,0.03830587
7.6,0.03716367
7.8,0.03725259
8.0,0.03565217
8.2,0.03633445
8.4,0.03799185
8.6,0.03471424
8.8,0.03492348
9.0,0.03399222
9.2,0.03430907
9.4,0.03374951
9.6,0.0343696
9.8,0.03304255
10.0,0.03328173
10.2,0.03390174
10.4,0.03267248
10.6,0.03393048
10.8,0.03185646
11.0,0.03289592
11.2,0.03142821
11.4,0.03094793
11.6,0.03078836
11.8,0.03150384
12.0,0.03136222
12.2,0.03076295
12.4,0.03092795
12.6,0.02963114
12.8,0.02949194
13.0,0.03048495
13.2,0.02994995
13.4,0.02963707
13.6,0.02875282
13.8,0.02827807
14.0,0.0284021
14.2,0.02960756
14.4,0.02862626
14.6,0.02821492
14.8,0.02790054
15.0,0.0273013
15.2,0.02688609
15.4,0.02683967
15.6,0.02609143
15.8,0.02659519
16.0,0.02725223
16.2,0.02667219
16.4,0.02686464
16.6,0.02737501
16.8,0.02714047
17.0,0.02636711
17.2,0.02564207
17.4,0.02532968
17.6,0.02772589
17.8,0.02594071
18.0,0.02495924
18.2,0.02526785
18.4,0.0240201
18.6,0.02577052
18.8,0.02602103
19.0,0.02566815
19.2,0.02465161
19.4,0.0245967
19.6,0.02403988
19.8,0.02392223
20.0,0.02518717
20.2,0.02419632
20.4,0.02410461
20.6,0.02408255
20.8,0.02298217
21.0,0.02373763
21.2,0.02298921
21.4,0.02226199
21.6,0.02358978
21.8,0.02289149
22.0,0.02252071
22.2,0.02489734
22.4,0.02377011
22.6,0.02295411
22.8,0.02306903
23.0,0.02126193
23.2,0.02241883
23.4,0.02359259
23.6,0.0224812
23.8,0.02161468
24.0,0.02112698
24.2,0.02140124
24.4,0.02214772
24.6,0.02374658
24.8,0.02212893
25.0,0.02065869
25.2,0.02119905
25.4,0.02062634
25.6,0.0213954
25.8,0.02103153
26.0,0.02029475
26.2,0.02038435
26.4,0.02041672
26.6,0.02087348
26.8,0.02056196
27.0,0.01993144
27.2,0.01877628
27.4,0.02019183
27.6,0.01990026
27.8,0.02079601
28.0,0.02118864
28.2,0.02141597
28.4,0.02009383
28.6,0.02029748
28.8,0.01946426
29.0,0.0191256
29.2,0.02033056
29.4,0.02053691
29.6,0.01897387
29.8,0.01976542
30.0,0.01825367
30.2,0.01890061
30.4,0.01928498
30.6,0.01884417
30.8,0.01775591
31.0,0.01934717
31.2,0.01806534
31.4,0.01939658
31.6,0.01842847
31.8,0.01731526
32.0,0.01869788
32.2,0.01829666
32.4,0.01747373
32.6,0.01976768
32.8,0.0181279
33.0,0.01875298
33.2,0.0173606
33.4,0.01672439
33.6,0.01784609
33.8,0.01844021
34.0,0.0189795
34.2,0.01774382
34.4,0.01759765
34.6,0.01781371
34.8,0.0171256
35.0,0.01759788
35.2,0.01820387
35.4,0.01725211
35.6,0.01715151
35.8,0.01695629
36.0,0.01842933
36.2,0.01837069
36.4,0.016976
36.6,0.0169556
36.8,0.01663575
37.0,0.01618584
37.2,0.01696229
37.4,0.01654915
37.6,0.01557323
37.8,0.01635922
38.0,0.01703488
38.2,0.01629506
38.4,0.01637492
38.6,0.01679732
38.8,0.01601198
39.0,0.01583798
39.2,0.01635041
39.4,0.0164596
39.6,0.0173224
39.8,0.01741438
40.0,0.01616682
40.2,0.0160315
40.4,0.01562185
40.6,0.01621846
40.8,0.01630761
41.0,0.01628855
41.2,0.01569585
41.4,0.01571227
41.6,0.01535541
41.8,0.01596392
42.0,0.01590146
42.2,0.01547769
42.4,0.01562604
42.6,0.01633661
42.8,0.01534813
43.0,0.01593419
43.2,0.01518155
43.4,0.01534469
43.6,0.0153785
43.8,0.01588206
44.0,0.01513189
44.2,0.01554494
44.4,0.01619077
44.6,0.01496682
44.8,0.01523568
45.0,0.01432221
45.2,0.01462626
45.4,0.01572254
45.6,0.0147669
45.8,0.01421801
46.0,0.01495615
46.2,0.01381474
46.4,0.01512683
46.6,0.01616375
46.8,0.01478535
47.0,0.01467818
47.2,0.01474217
47.4,0.01423664
47.6,0.01486116
47.8,0.01392869
48.0,0.01491056
48.2,0.01451509
48.4,0.01386326
48.6,0.01433619
48.8,0.01509759
49.0,0.01358562
49.2,0.01381324
49.4,0.01467319
49.6,0.01387991
49.8,0.01489954
50.0,0.01520102
50.2,0.01526113
50.4,0.0142714
50.6,0.01378195
50.8,0.01410394
51.0,0.01475411
51.2,0.01540502
51.4,0.01514863
51.6,0.01360136
51.8,0.01423898
52.0,0.01302341
52.2,0.01502636
52.4,0.01432975
52.6,0.01355096
52.8,0.01302354
53.0,0.01410646
53.2,0.01296572
53.4,0.01386189
53.6,0.01303156
53.8,0.01316743
54.0,0.01312418
54.2,0.01284597
54.4,0.01319431
54.6,0.0149061
54.8,0.01323125
55.0,0.01324764
55.2,0.01295472
55.4,0.01242558
55.6,0.01358843
55.8,0.0144594
56.0,0.01389224
56.2,0.012821
56.4,0.01257178
56.6,0.012332
56.8,0.01321043
57.0,0.01425878
57.2,0.01351998
57.4,0.01274422
57.6,0.01289567
57.8,0.01250729
58.0,0.01293917
58.2,0.01316758
58.4,0.01269753
58.6,0.01259717
58.8,0.01295264
59.0,0.0122946
59.2,0.01331685
59.4,0.01153546
59.6,0.01176877
59.8,0.01257693
60.0,0.0127284
60.2,0.01202894
60.4,0.01254507
60.6,0.01295728
60.8,0.01242332
61.0,0.01316832
61.2,0.01138738
61.4,0.01178398
61.6,0.0138223
61.8,0.01249773
62.0,0.01220721
62.2,0.01196191
62.4,0.01223137
62.6,0.01295649
62.8,0.01169678
63.0,0.0119758
63.2,0.01314796
63.4,0.01136539
63.6,0.01246939
63.8,0.01176465
64.0,0.01205488
64.2,0.01159925
64.4,0.01224527
64.6,0.01240911
64.8,0.01141168
65.0,0.0129484
65.2,0.0126852
65.4,0.01225745
65.6,0.01292349
65.8,0.01145173
66.0,0.01180948
66.2,0.01340431
66.4,0.01242084
66.6,0.01142063
66.8,0.01183779
67.0,0.01073909
67.2,0.01122515
67.4,0.01241429
67.6,0.0119147
67.8,0.01158827
68.0,0.01197458
68.2,0.01096752
68.4,0.01232323
68.6,0.01228791
68.8,0.01230061
69.0,0.01152297
69.2,0.01158184
69.4,0.01167365
69.6,0.01220634
69.8,0.01152991
70.0,0.01139622
70.2,0.0111067
70.4,0.01140581
70.6,0.01051594
70.8,0.01272849
71.0,0.01134165
71.2,0.01064105
71.4,0.01152449
71.6,0.01153894
71.8,0.01198168
72.0,0.01237783
72.2,0.01083778
72.4,0.01159435
72.6,0.01136056
72.8,0.01097412
73.0,0.01130921
73.2,0.01237013
73.4,0.01210946
73.6,0.0106834
73.8,0.0114672
74.0,0.01023752
74.2,0.01161348
74.4,0.01228751
74.6,0.0117885
74.8,0.01192704
75.0,0.01091301
75.2,0.01033743
75.4,0.01101039
75.6,0.01106359
75.8,0.009501518
76.0,0.01028879
76.2,0.01010337
76.4,0.01162071
76.6,0.01298235
76.8,0.01145872
77.0,0.009999823
77.2,0.01067782
77.4,0.009695731
77.6,0.01014925
77.8,0.01188243
78.0,0.0115145
78.2,0.0105683
78.4,0.01101375
78.6,0.0102452
78.8,0.01077841
79.0,0.0111675
79.2,0.01165034
79.4,0.01039374
79.6,0.0105984
79.8,0.01076871
80.0,0.01115827
80.2,0.01114615
80.4,0.009122663
80.6,0.009795554
80.8,0.01084168
81.0,0.01050569
81.2,0.01140641
81.4,0.009883581
81.6,0.009770606
81.8,0.01131295
82.0,0.009748555
82.2,0.0110906
82.4,0.01140624
82.6,0.01111981
82.8,0.009913767
83.0,0.00985054
83.2,0.009096742
83.4,0.0105941
83.6,0.01132925
83.8,0.01045399
84.0,0.009844003
84.2,0.0102573
84.4,0.008532689
84.6,0.01011173
84.8,0.01010188
85.0,0.01045516
85.2,0.009665307
85.4,0.0101493
85.6,0.009892299
85.8,0.009624412
86.0,0.009689774
86.2,0.009713608
86.4,0.01054386
86.6,0.01052558
86.8,0.00982493
87.0,0.01048335
87.2,0.01065517
87.4,0.009808034
87.6,0.009759969
87.8,0.00973594
88.0,0.009532667
88.2,0.01034897
88.4,0.01047173
88.6,0.01028385
88.8,0.009589976
89.0,0.009005098
89.2,0.0105992
89.4,0.01031367
89.6,0.01021769
89.8,0.01070538
90.0,0.009505711
90.2,0.009143925
90.4,0.01049911
90.6,0.01172942
90.8,0.01026948
91.0,0.009724324
91.2,0.008970178
91.4,0.009534061
91.6,0.01019887
91.8,0.009419421
92.0,0.009197757
92.2,0.008760962
92.4,0.009619447
92.6,0.009969471
92.8,0.01126435
93.0,0.009496332
93.2,0.009914977
93.4,0.00993838
93.6,0.009688878
93.8,0.009287559
94.0,0.0103253
94.2,0.01030224
94.4,0.00919108
94.6,0.009826495
94.8,0.009560975
95.0,0.009840896
95.2,0.01053481
95.4,0.01013799
95.6,0.009573111
95.8,0.009789782
96.0,0.00909683
96.2,0.01007413
96.4,0.01009631
96.6,0.009545676
96.8,0.009033913
97.0,0.009753764
97.2,0.009677703
97.4,0.008859393
97.6,0.008525477
97.8,0.009021383
98.0,0.009212494
98.2,0.00975596
98.4,0.009748714
98.6,0.009830938
98.8,0.0100787
99.0,0.008580402
99.2,0.009653181
99.4,0.008836681
99.6,0.009697474
99.8,0.01045623
100.0,0.01038963
100.2,0.009455363
100.4,0.009301752
100.6,0.008437963
100.8,0.009354156
101.0,0.01006209
101.2,0.008712052
101.4,0.01017872
101.6,0.00983818
101.8,0.009163341
102.0,0.009723627
102.2,0.009939621
102.4,0.009292422
102.6,0.008134055
102.8,0.009291317
103.0,0.008094541
103.2,0.01058705
103.4,0.007695489
103.6,0.008105852
103.8,0.008933564
104.0,0.009236558
104.2,0.009633408
104.4,0.009801543
104.6,0.008748623
104.8,0.0090988
105.0,0.008570833
105.2,0.008352255
105.4,0.009860672
105.6,0.009492409
105.8,0.009560365
106.0,0.007831518
106.2,0.008781598
106.4,0.008216912
106.6,0.009258821
106.8,0.009605743
107.0,0.008950294
107.2,0.00889417
107.4,0.008517033
107.6,0.00854684
107.8,0.01030247
108.0,0.00889428
108.2,0.008477099
108.4,0.009211091
108.6,0.008559047
108.8,0.008597905
109.0,0.009441604
109.2,0.008828502
109.4,0.00889585
109.6,0.008607507
109.8,0.00864584
110.0,0.009150975
110.2,0.009997888
110.4,0.009422484
110.6,0.009019662
110.8,0.009778704
111.0,0.008120954
111.2,0.009452968
111.4,0.009356643
111.6,0.009388347
111.8,0.008637751
112.0,0.00884715
