depth	phit				
3400	0.146				
t2	t2dist	t1	t1dist	dc	dcdist
0.0005	0.00001872	0.00049621	0	0.0000001	0.00016242
0.00057871	0.00002069	0.00058448	0.00000006	0.00000012	0.00010631
0.00066981	0.00002528	0.00068844	0.00000015	0.00000014	0.00007965
0.00077526	0.00003411	0.0008109	0.00000035	0.00000017	0.00006873
0.0008973	0.00005081	0.00095514	0.00000069	0.00000021	0.00006486
0.00103856	0.00009101	0.00112503	0.00000115	0.00000025	0.00006365
0.00120205	0.00020579	0.00132515	0.00000185	0.0000003	0.00006334
0.00139128	0.00046862	0.00156086	0.00000372	0.00000036	0.00006328
0.0016103	0.00085369	0.00183849	0.00000894	0.00000043	0.00006328
0.0018638	0.00105809	0.00216552	0.00001677	0.00000052	0.00006328
0.0021572	0.00103178	0.00255071	0.00002579	0.00000062	0.0000633
0.00249679	0.00084644	0.00300441	0.00003679	0.00000075	0.00006331
0.00288985	0.00061483	0.00353882	0.00005002	0.0000009	0.00006333
0.00334477	0.00040726	0.00416829	0.00005724	0.00000108	0.00006335
0.00387132	0.00022632	0.00490972	0.00005114	0.00000129	0.00006337
0.00448075	0.0001173	0.00578304	0.00004062	0.00000155	0.0000634
0.00518613	0.00006418	0.0068117	0.00003096	0.00000186	0.00006344
0.00600254	0.00004119	0.00802333	0.00002216	0.00000223	0.00006349
0.00694748	0.00002917	0.00945047	0.00001283	0.00000268	0.00006355
0.00804117	0.00002176	0.01113148	0.00000726	0.00000322	0.00006366
0.00930703	0.0000174	0.01311149	0.00000486	0.00000387	0.00006396
0.01077217	0.00001523	0.01544369	0.00000362	0.00000464	0.00006512
0.01246796	0.00001489	0.01819073	0.00000235	0.00000557	0.00007069
0.0144307	0.00001596	0.02142641	0.00000157	0.00000669	0.0001029
0.01670242	0.0000181	0.02523762	0.00000145	0.00000803	0.00027796
0.01933177	0.00002098	0.02972676	0.00000166	0.00000964	0.00099977
0.02237503	0.00002461	0.03501441	0.00000164	0.00001157	0.00298435
0.02589737	0.00003006	0.04124259	0.0000016	0.00001389	0.00726535
0.02997421	0.00003748	0.04857861	0.00000198	0.00001668	0.0139734
0.03469284	0.00004666	0.05721952	0.0000029	0.00002003	0.0209104
0.04015429	0.00005721	0.06739743	0.0000036	0.00002404	0.02330975
0.04647549	0.00007022	0.07938574	0.00000406	0.00002886	0.01785789
0.05379179	0.00008606	0.09350647	0.00000523	0.00003465	0.01091546
0.06225985	0.00010464	0.11013891	0.00000766	0.0000416	0.00634933
0.07206098	0.00012559	0.12972986	0.00000987	0.00004994	0.00409485
0.08340503	0.00014959	0.15280553	0.00001109	0.00005995	0.00264054
0.09653489	0.00017833	0.17998579	0.00001382	0.00007197	0.00179293
0.11173169	0.00021817	0.21200074	0.00002173	0.0000864	0.00139151
0.12932081	0.00029154	0.24971034	0.00004014	0.00010372	0.00125475
0.14967886	0.0004919	0.29412752	0.00007567	0.00012452	0.00124216
0.17324174	0.00117726	0.34644541	0.00014945	0.00014949	0.00127229
0.20051396	0.00327316	0.40806933	0.00029428	0.00017946	0.00129613
0.23207944	0.00772108	0.4806546	0.00054052	0.00021544	0.00127536
0.26861406	0.01370845	0.56615096	0.00081707	0.00025864	0.00117195
0.31090005	0.01917301	0.66685497	0.00105989	0.0003105	0.00101709
0.35984284	0.02146456	0.7854717	0.00117126	0.00037276	0.00087394
0.41649033	0.01969944	0.92518735	0.00112637	0.0004475	0.00077535
0.48205544	0.01458443	1.08975491	0.00092371	0.00053723	0.00071895
0.557942	0.0087927	1.28359489	0.00067753	0.00064495	0.0006793
0.64577483	0.0050816	1.51191413	0.00046074	0.00077426	0.00065572
0.74743457	0.00324453	1.78084561	0.00030445	0.00092951	0.00064812
0.86509787	0.00239229	2.09761325	0.00020578	0.00111588	0.00065588
1.00128407	0.0019209	2.47072587	0.00015462	0.00133963	0.00067613
1.15890909	0.00168848	2.91020584	0.00013747	0.00160823	0.00070955
1.3413479	0.00157827	3.42785825	0.00013397	0.0019307	0.00075853
1.55250675	0.00152318	4.03758799	0.0001293	0.00231782	0.00082769
1.79690683	0.00147907	4.75577332	0.00011918	0.00278256	0.00092534
2.07978108	0.00143766	5.60170575	0.00011412	0.00334048	0.00105419
2.40718621	0.00139901	6.59810828	0.000107	0.00401028	0.0012155
2.7861324	0.00136504	7.77174574	0.00009104	0.00481437	0.0014092
3.22473339	0.00133531	9.15414379	0.00006952	0.00577969	0.00164638
3.7323802	0.00131206	10.78243567	0.00004885	0.00693857	0.00194486
4.31994225	0.00130998	12.70035972	0.00003191	0.00832981	0.00232434
5	0.00143663	14.9594342	0.00001916	0.01	0.00281187
